date-total-items
2010/02/07-9,99-"Counter Strike"
2010/02/16-14,99-"Killing Floor"
2010/03/16-99,99-"Valve Complete 2009 Pack"
2010/04/10-9,99-"Garry's Mod"
2011/05/06-14,99-"Crysis Complete"
2011/07/01-7,50-"Borderlands"
2011/07/09-24,99-"Portal 2"
2011/07/10-9,99-"Grand Theft Auto IV: Complete Edition"
2011/10/10-5,00-"Metro 2033"
2011/12/28-39,97-"Terraria|Call of Duty: Black Ops|Super Meat Boy"
2012/01/02-57,48-"L.A. Noire|Call of Duty: Modern Warfare 3"
2012/03/04-34,98-"Saints Row: The Third|Payday: The Heist"
2012/03/05-3,75-"Saints Row 2"
2012/05/19-44,99-"Assassin's Creed Pack"
2012/06/19-9,99-"Cube Pack"
2012/06/21-14,99-"Deus Ex Collection"
2012/07/14-26,21-"Max Payne 3|Max Payne|Max Payne 2: The Fall of Max Payne"
2012/07/15-6,24-"Hitman Collection"
2012/07/21-16,98-"Crysis 2|Amnesia: The Dark Descent"
2012/07/22-7,48-"Bioshock Franchise Pack"
2012/08/09-13,49-"Counter Strike: Global Offensive"
2012/08/18-18,69-"Sniper Elite Franchise Pack"
2012/12/03-79,99-"Assassin's Creed 3"
2012/12/29-45,62-"Just Cause|Just Cause 2|Prototype|Prototype 2"
2013/07/19-12,23-"Euro Truck Simulator 2|Euro Truck Simulator"
2013/08/03-19,98-"Sleeping Dogs"
2014/04/18-16,98-"Saints Row IV"
2015/11/11-7,49-"Borderlands 2"
2015/12/01-1,99-"Brutal Legend"
2016/04/24-11,99-"Rocket League®"
2016/05/09-25,97-"Serious Sam|The Talos Principle|Dead Island"
2016/06/25-8,09-"Bully: Scholarship Edition"
2017/07/01-9,99-"Ori and the Blind Forest: Definitive Edition"
2017/09/30-19,99-"Rust"
2017/10/22-4,47-"The Witcher 3: Wild Hunt|The Witcher|The Witcher 2"
2018/01/03-6,39-"Just Cause 3 XL"
2018/01/03-17,07-"Uplink|Duskers|Hack 'n' Slash|Hacknet|TIS 100|Event[0]"
2018/01/12-16,85-"PLAYERUNKNOWN'S BATTLEGROUNDS"
2018/07/05-14,71-"Assassin's Creed Black Flag|Assassin's Creed Unity|Assassin's Creed Rogue|Assassin's Creed Syndicate"
2018/11/22-1,81-"Uno"
2018/11/27-16,14-"Assassin's Creed Origins"
2018/12/26-4,41-"Borderlands: The Pre Sequel"
2019/01/16-4,71-"Keep Talking and Nobody Explodes"
2019/02/07-1,16-"Age of Empires II"
2019/02/07-21,75-"Assassin's Creed Odyssey"
2019/06/17-4,02-"Pummel Party"
2020/01/26-4,43-"Visage"
2020/02/02-1,88-"Grand Theft Auto III Trilogy"
2020/06/26-4,26-"Life is Strange"
2020/06/26-1,53-"Tabletop Simulator"
2020/08/13-9,32-"Fall Guys"
2020/08/29-0,87-"Among Us"
2020/09/22-0,6-"Pacify"
